,Chuquisaca,La Paz,Cochabamba,Oruro,Potosí,Tarija,Santa Cruz,Beni,Pando
2020-03-10,0,0,0,1,0,0,1,0,0
2020-03-11,0,0,0,1,0,0,2,0,0
2020-03-12,0,0,0,1,0,0,2,0,0
2020-03-13,0,0,1,7,0,0,2,0,0
2020-03-14,0,0,1,7,0,0,2,0,0
2020-03-15,0,0,1,7,0,0,3,0,0
2020-03-16,0,0,1,7,0,0,3,0,0
2020-03-17,0,0,1,7,0,0,4,0,0
2020-03-18,0,0,1,7,0,0,4,0,0
2020-03-19,0,1,2,8,0,0,5,0,0
2020-03-20,0,1,2,8,0,0,8,0,0
2020-03-21,0,1,2,8,0,0,9,0,0
2020-03-22,0,1,3,8,0,0,15,0,0
2020-03-23,0,1,3,8,0,0,16,0,0
2020-03-24,0,2,3,8,0,0,19,0,0
2020-03-25,0,4,3,8,0,0,24,0,0
2020-03-26,0,8,10,8,1,0,34,0,0
2020-03-27,1,8,14,8,1,0,42,0,0
2020-03-28,1,10,14,8,3,0,44,0,1
2020-03-29,1,13,18,8,3,0,52,0,1
2020-03-30,1,14,20,8,3,1,59,0,1
2020-03-31,1,16,20,8,4,1,64,0,1
2020-04-01,1,16,21,8,4,1,68,0,4
2020-04-02,1,19,22,8,5,1,70,0,6
2020-04-03,1,20,24,8,5,1,74,0,6
2020-04-04,1,23,24,8,5,1,89,0,6
2020-04-05,1,32,33,8,5,1,97,0,6
2020-04-06,1,37,33,8,8,1,100,0,6
2020-04-07,1,39,38,8,10,1,103,0,10
2020-04-08,1,57,47,8,13,1,127,0,10
2020-04-09,1,57,48,8,13,1,130,0,10
2020-04-10,1,59,48,9,13,1,134,0,10
2020-04-11,1,65,49,11,15,1,147,0,11
2020-04-12,1,73,52,13,15,2,163,0,11
2020-04-13,1,80,54,14,15,2,177,0,11
2020-04-14,1,91,57,30,15,2,190,0,11
2020-04-15,1,101,59,37,15,2,215,0,11
2020-04-16,1,120,59,38,16,2,218,0,11
2020-04-17,1,120,60,42,18,3,237,0,12
2020-04-18,1,126,60,45,18,3,255,0,12
2020-04-19,1,133,61,45,19,3,290,0,12
2020-04-20,1,134,61,49,19,3,317,2,12
2020-04-21,1,137,62,49,19,3,324,2,12
2020-04-22,1,140,63,59,21,3,371,2,12
2020-04-23,2,150,66,62,21,3,385,2,12
2020-04-24,2,155,70,65,21,3,446,33,12
2020-04-25,2,159,71,65,26,3,489,39,12
2020-04-26,2,168,78,79,26,3,525,57,12
2020-04-27,3,185,78,92,26,3,553,62,12
2020-04-28,3,188,79,92,26,3,587,63,12
2020-04-29,3,202,80,102,26,3,615,67,12
2020-04-30,3,218,80,102,26,3,656,67,12
2020-05-01,4,221,80,107,26,3,693,83,12
2020-05-02,4,236,81,111,26,3,806,191,12
2020-05-03,4,241,81,111,26,3,904,212,12
2020-05-04,5,243,82,111,33,4,979,212,12
2020-05-05,6,253,82,113,35,6,1083,212,12
2020-05-06,6,260,82,113,35,6,1160,212,12
